Title,Genre,Year Release,Rating,Studio
A Certain Scientific Railgun T,"{'Fantasy', 'Sci-Fi', 'Action'}",2020,8.16,J.C.Staff
Kaiba,"{'Romance', 'Award Winning', 'Mystery', 'Sci-Fi', 'Adventure', 'Avant Garde'}",2008,8.15,Madhouse
Lupin the Third Part 5,"{'Mystery', 'Comedy', 'Adventure', 'Action'}",2018,8.15,Telecom Animation Film
Noragami Aragoto,"{'Fantasy', 'Action'}",2015,8.15,Bones
Princess Tutu,"{'Romance', 'Drama', 'Fantasy', 'Mystery'}",2002,8.15,HAL Film Maker
Death Parade,"{'Drama', 'Suspense', 'Supernatural'}",2015,8.15,Madhouse
Black Clover,"{'Comedy', 'Fantasy', 'Action'}",2017,8.14,Pierrot
Golden Kamuy Season 4,"{'Adventure', 'Action'}",2022,8.14,Brain's Base
Food Wars! Shokugeki no Soma,"{'Ecchi', 'GourmetGourmet'}",2015,8.14,J.C.Staff
That Time I Got Reincarnated as a Slime,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",2018,8.14,8bit
Nisemonogatari,"{'Ecchi', 'Comedy', 'Supernatural', 'Mystery'}",2012,8.14,Shaft
Ya Boy Kongming!,"{'Comedy', 'Supernatural'}",2022,8.14,P.A. Works
Reborn!,"{'Comedy', 'Action'}",2006,8.13,Artland
Moribito - Guardian of the Spirit,"{'Fantasy', 'Adventure', 'Action'}",2007,8.13,Production I.G
Keep Your Hands Off Eizouken!,"{'Comedy', 'Adventure', 'Award Winning'}",2020,8.13,Science SARU
Gankutsuou: The Count of Monte Cristo,"{'Drama', 'Supernatural', 'Suspense', 'Mystery', 'Sci-Fi', 'Award Winning'}",2004,8.13,Gonzo
Hinamatsuri,"{'Comedy', 'Supernatural'}",2018,8.13,feel.
Future Boy Conan,"{'Drama', 'Sci-Fi', 'Adventure'}",1978,8.12,Nippon Animation
Fullmetal Alchemist,"{'Drama', 'Fantasy', 'Action', 'Adventure', 'Award Winning'}",2003,8.11,Bones
Hell's Paradise,"{'Fantasy', 'Adventure', 'Action'}",2023,8.11,MAPPA
Classroom of the Elite II,"{'Drama', 'Suspense'}",2022,8.11,Lerche
Kamisama Kiss,"{'Romance', 'Comedy', 'Fantasy'}",2012,8.11,TMS Entertainment
Mobile Suit Gundam 00,"{'Drama', 'Sci-Fi', 'Action'}",2007,8.11,Sunrise
Black Butler: Public School Arc,"{'Mystery', 'Fantasy', 'Action'}",2024,8.11,CloverWorks
KonoSuba: God's Blessing on This Wonderful World!,"{'Comedy', 'Fantasy', 'Adventure'}",2016,8.1,Studio Deen
Durarara!!,"{'Mystery', 'Supernatural', 'Action'}",2010,8.1,Brain's Base
JoJo's Bizarre Adventure: Stardust Crusaders,"{'Adventure', 'Supernatural', 'Action'}",2014,8.1,David Production
The Eccentric Family 2,"{'Comedy', 'Fantasy', 'Drama'}",2017,8.09,P.A. Works
Terror in Resonance,"{'Suspense', 'Mystery'}",2014,8.09,MAPPA
Serial Experiments Lain,"{'Award Winning', 'Drama', 'Supernatural', 'Suspense', 'Mystery', 'Sci-Fi', 'Avant Garde'}",1998,8.09,Triangle Staff
Shangri-La Frontier,"{'Fantasy', 'Adventure', 'Action'}",2023,8.09,C2C
Delicious in Dungeon,"{'Comedy', 'Fantasy', 'GourmetGourmet'}",2024,8.09,Trigger
Assassination Classroom,"{'Comedy', 'Action'}",2015,8.08,Lerche
To Your Eternity Season 2,"{'Drama', 'Adventure', 'Supernatural'}",2022,8.08,Drive
Glass Mask,"{'Romance', 'Drama'}",2005,8.08,Tokyo Movie Shinsha
Hikaru no Go,"{'Comedy', 'Supernatural', 'Drama'}",2001,8.08,Pierrot
Food Wars! The Second Plate,"{'Ecchi', 'GourmetGourmet'}",2016,8.08,J.C.Staff
Skip Beat!,"{'Romance', 'Comedy', 'Drama'}",2008,8.08,HAL Film Maker
Astra Lost in Space,"{'Suspense', 'Mystery', 'Sci-Fi', 'Adventure', 'Award Winning'}",2019,8.08,Lerche
Mobile Suit Gundam 00: Second Season,"{'Drama', 'Sci-Fi', 'Action'}",2008,8.08,Sunrise
Overlord IV,"{'Fantasy', 'Adventure', 'Action'}",2022,8.08,Madhouse
Kodocha,"{'Romance', 'Comedy', 'Drama'}",1996,8.07,Gallop
The Pet Girl of Sakurasou,"{'Romance', 'Drama'}",2012,8.07,J.C.Staff
Hyouka,"{'Slice of Life', 'Mystery'}",2012,8.07,Kyoto Animation
Toradora!,"{'Romance', 'Drama'}",2008,8.07,J.C.Staff
Mobile Suit Gundam: Iron-Blooded Orphans,"{'Drama', 'Sci-Fi', 'Action'}",2015,8.06,Sunrise
Black Butler: Book of Circus,"{'Mystery', 'Fantasy', 'Action'}",2014,8.06,A-1 Pictures
The Ancient Magus' Bride,"{'Romance', 'Drama', 'Fantasy'}",2017,8.06,Wit Studio
"No Game, No Life","{'Ecchi', 'Comedy', 'Fantasy'}",2014,8.06,Madhouse
Angel Beats!,"{'Drama', 'Supernatural'}",2010,8.06,P.A. Works
The Quintessential Quintuplets 2,"{'Romance', 'Comedy'}",2021,8.05,Bibury Animation Studios
Darker than Black,"{'Mystery', 'Sci-Fi', 'Action'}",2007,8.05,Bones
Date A Live V,"{'Romance', 'Fantasy', 'Sci-Fi', 'Action'}",2024,8.05,Geek Toys
Durarara!! x2 Ketsu,"{'Mystery', 'Supernatural', 'Action'}",2016,8.05,Shuka
Eureka Seven,"{'Drama', 'Action', 'Romance', 'Sci-Fi', 'Adventure'}",2005,8.05,Bones
KenIchi: The Mightiest Disciple,"{'Comedy', 'Action'}",2006,8.05,TMS Entertainment
Welcome to Demon School! Iruma-kun Season 2,"{'Comedy', 'Fantasy'}",2021,8.04,Bandai Namco Pictures
Den-noh Coil,"{'Drama', 'Mystery', 'Sci-Fi', 'Adventure', 'Award Winning'}",2007,8.04,Madhouse
Slayers Next,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",1996,8.03,E&G Films
Kill la Kill,"{'Ecchi', 'Comedy', 'Fantasy', 'Action'}",2013,8.03,Trigger
Lovely Complex,"{'Romance', 'Comedy'}",2007,8.03,Toei Animation
Yona of the Dawn,"{'Romance', 'Fantasy', 'Adventure', 'Action'}",2014,8.03,Pierrot
Full Metal Panic? Fumoffu,"{'Comedy', 'Action'}",2003,8.03,Kyoto Animation
Silver Fang,"{'Drama', 'Adventure', 'Action'}",1986,8.03,Toei Animation
The Twelve Kingdoms,"{'Fantasy', 'Adventure', 'Action'}",2002,8.02,Pierrot
Tales of Saiunkoku,"{'Romance', 'Fantasy', 'Adventure'}",2007,8.02,Madhouse
Kimi ni Todoke: From Me to You,"{'Romance', 'Drama'}",2009,8.01,Production I.G
Magi: The Labyrinth of Magic,"{'Fantasy', 'Adventure', 'Action'}",2012,8.01,A-1 Pictures
Shadows House 2nd Season,"{'Fantasy', 'Mystery'}",2022,8.01,CloverWorks
D.Gray-man,"{'Fantasy', 'Adventure', 'Action'}",2006,8.01,TMS Entertainment
A Certain Scientific Railgun S,"{'Fantasy', 'Sci-Fi', 'Action'}",2013,8.01,J.C.Staff
Tokyo Magnitude 8.0,"{'Drama', 'Award Winning'}",2009,8.01,"Bones, Kinema Citrus"
My Teen Romantic Comedy SNAFU,"{'Romance', 'Comedy'}",2013,8,Brain's Base
Classroom of the Elite III,"{'Drama', 'Suspense'}",2024,8,Lerche
Zombie Land Saga Revenge,"{'Comedy', 'Supernatural'}",2021,8,MAPPA
Maid Sama!,"{'Romance', 'Comedy'}",2010,8,J.C.Staff
Naruto,"{'Fantasy', 'Adventure', 'Action'}",2002,8,Pierrot
ef - a tale of melodies.,"{'Romance', 'Drama', 'Supernatural', 'Mystery'}",2008,8,Shaft
Honey and Clover,"{'Romance', 'Comedy', 'Drama'}",2005,8,J.C.Staff
Clannad,"{'Romance', 'Drama', 'Supernatural'}",2007,7.99,Kyoto Animation
Food Wars! The Third Plate,"{'Ecchi', 'GourmetGourmet'}",2017,7.99,J.C.Staff
The World God Only Knows: Goddesses,"{'Romance', 'Comedy', 'Supernatural'}",2013,7.99,Manglobe
Kimi ni Todoke: From Me to You Season 2,"{'Romance', 'Drama'}",2011,7.99,Production I.G
Sacrificial Princess and the King of Beasts,"{'Romance', 'Fantasy'}",2023,7.99,J.C.Staff
Magical Girl Lyrical Nanoha A's,"{'Comedy', 'Fantasy', 'Drama', 'Action'}",2005,7.98,Seven Arcs
School Rumble: 2nd Semester,"{'Romance', 'Comedy'}",2006,7.98,Studio Comet
Bungo Stray Dogs Wan!,"{'Comedy', 'Supernatural'}",2021,7.98,"Bones, Nomad"
Durarara!! x2 Shou,"{'Mystery', 'Supernatural', 'Action'}",2015,7.98,Shuka
Haibane Renmei,"{'Drama', 'Fantasy', 'Suspense', 'Mystery'}",2002,7.98,Radix
xxxHOLiC,"{'Comedy', 'Supernatural', 'Drama', 'Mystery'}",2006,7.98,Production I.G
Treasure Island,"{'Drama', 'Adventure', 'Mystery'}",1978,7.97,Tokyo Movie Shinsha
Call of the Night,"{'Romance', 'Supernatural'}",2022,7.97,LIDENFILMS
Sleepy Princess in the Demon Castle,"{'Comedy', 'Fantasy'}",2020,7.97,Doga Kobo
Snow White with the Red Hair 2,"{'Romance', 'Drama', 'Fantasy'}",2016,7.97,Bones
Dragon Ball,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",1986,7.97,Toei Animation
Durarara!! x2 Ten,"{'Mystery', 'Supernatural', 'Action'}",2015,7.97,Shuka
Fist of the North Star,"{'Drama', 'Sci-Fi', 'Action'}",1984,7.97,Toei Animation
Sailor Moon Sailor Stars,"{'Comedy', 'Drama', 'Fantasy', 'Romance', 'Adventure'}",1996,7.96,Toei Animation
Saga of Tanya the Evil,"{'Fantasy', 'Action'}",2017,7.96,Nut
A Lull in the Sea,"{'Romance', 'Drama', 'Fantasy'}",2013,7.96,P.A. Works
ReLIFE,"{'Romance', 'Drama'}",2016,7.96,TMS Entertainment
Kanon,"{'Romance', 'Drama', 'Supernatural'}",2006,7.95,Kyoto Animation
Kobato.,"{'Romance', 'Comedy', 'Fantasy', 'Drama'}",2009,7.95,Madhouse
Noragami,"{'Fantasy', 'Action'}",2014,7.95,Bones
Searching for the Full Moon,"{'Romance', 'Comedy', 'Supernatural', 'Drama'}",2002,7.95,Studio Deen
Food Wars! The Third Plate: Totsuki Train Arc,"{'Ecchi', 'GourmetGourmet'}",2018,7.95,J.C.Staff
The Rising of the Shield Hero,"{'Drama', 'Fantasy', 'Adventure', 'Action'}",2019,7.95,Kinema Citrus
Wagnaria!!3,"{'Romance', 'Comedy'}",2015,7.95,A-1 Pictures
Kaleido Star,"{'Comedy', 'Fantasy', 'Drama'}",2003,7.94,Gonzo
Mobile Suit Gundam: The Witch from Mercury Season 2,"{'Sci-Fi', 'Action'}",2023,7.94,Sunrise
Miss Kobayashi's Dragon Maid,"{'Slice of Life', 'Fantasy'}",2017,7.94,Kyoto Animation
Penguindrum,"{'Drama', 'Supernatural', 'Suspense', 'Mystery', 'Avant Garde'}",2011,7.94,Brain's Base
Nura: Rise of the Yokai Clan - Demon Capital,"{'Supernatural', 'Action'}",2011,7.94,Studio Deen
Bleach,"{'Fantasy', 'Adventure', 'Action'}",2004,7.94,Pierrot
Fate/Grand Order: Absolute Demonic Front - Babylonia,"{'Fantasy', 'Supernatural', 'Action'}",2019,7.94,CloverWorks
Galaxy Warring State Chronicle Rai,"{'Romance', 'Sci-Fi', 'Adventure'}",1994,7.94,E&G Films
Tokyo Revengers,"{'Drama', 'Supernatural', 'Action'}",2021,7.93,LIDENFILMS
Phantom: Requiem for the Phantom,"{'Drama', 'Suspense', 'Action'}",2009,7.93,Bee Train
Mobile Suit Zeta Gundam,"{'Romance', 'Drama', 'Sci-Fi', 'Action'}",1985,7.92,Sunrise
You and Me 2,"{'Romance', 'Comedy'}",2012,7.92,J.C.Staff
Welcome to Irabu's Office,"{'Drama', 'Avant Garde'}",2009,7.92,Toei Animation
Overlord III,"{'Fantasy', 'Adventure', 'Action'}",2018,7.92,Madhouse
Sans Famille,"{'Drama', 'Adventure'}",1996,7.92,Nippon Animation
Sailor Moon S,"{'Romance', 'Fantasy'}",1994,7.91,Toei Animation
Log Horizon,"{'Fantasy', 'Adventure', 'Action'}",2013,7.91,Satelight
Lupin the Third Part 4,"{'Mystery', 'Comedy', 'Adventure', 'Action'}",2015,7.91,Telecom Animation Film
Overlord,"{'Fantasy', 'Adventure', 'Action'}",2015,7.91,Madhouse
Plastic Memories,"{'Romance', 'Drama', 'Sci-Fi'}",2015,7.91,Doga Kobo
Yakitate!! Japan,"{'Comedy', 'GourmetGourmet'}",2004,7.91,Sunrise
King of Braves GaoGaiGar,"{'Sci-Fi', 'Adventure', 'Action'}",1997,7.91,Sunrise
The Case Study of Vanitas,"{'Mystery', 'Fantasy', 'Action'}",2021,7.9,Bones
Bloom Into You,"{'Girls LoveGirls Love', 'Drama'}",2018,7.9,TROYCA
Yuri!!! On ICE,"{'Sports', 'Award Winning'}",2016,7.9,MAPPA
Blast of Tempest,"{'Drama', 'Fantasy', 'Suspense', 'Action', 'Mystery'}",2012,7.9,Bones
Berserk: The Golden Age Arc - Memorial Edition,"{'Drama', 'Fantasy', 'Horror', 'Action', 'Adventure'}",2022,7.9,Studio 4°C
Ergo Proxy,"{'Sci-Fi', 'Suspense', 'Mystery'}",2006,7.9,Manglobe
Macross,"{'Romance', 'Sci-Fi', 'Action'}",1982,7.9,Tatsunoko Production
My Love Story!!,"{'Romance', 'Comedy'}",2015,7.9,Madhouse
Macross Frontier,"{'Romance', 'Award Winning', 'Sci-Fi', 'Action'}",2008,7.89,Satelight
The Ancient Magus' Bride Season 2 Part 2,"{'Romance', 'Drama', 'Fantasy'}",2023,7.89,Studio Kafka
The Irresponsible Captain Tylor,"{'Comedy', 'Sci-Fi'}",1993,7.89,Tatsunoko Production
School Rumble,"{'Romance', 'Comedy'}",2004,7.89,Studio Comet
Undead Murder Farce,"{'Fantasy', 'Mystery'}",2023,7.89,Lapin Track
Ushio & Tora (2016),"{'Adventure', 'Supernatural', 'Action'}",2016,7.89,"MAPPA, Studio VOLN"
Drifters,"{'Comedy', 'Fantasy', 'Adventure', 'Action'}",2016,7.89,Hoods Entertainment
Go! Princess Pretty Cure,"{'Comedy', 'Fantasy', 'Action'}",2015,7.89,Toei Animation
Hozuki's Coolheadedness 2,"{'Comedy', 'Fantasy'}",2017,7.89,Studio Deen
Nobody's Boy Remi,"{'Drama', 'Adventure'}",1977,7.89,"Madhouse, TMS Entertainment"
Jormungand Season 2: Perfect Order,"{'Adventure', 'Action'}",2012,7.89,White Fox
ef - a tale of memories.,"{'Romance', 'Drama', 'Mystery'}",2007,7.88,Shaft
Golden Kamuy,"{'Adventure', 'Action'}",2018,7.88,Geno Studio
Higurashi: When They Cry,"{'Suspense', 'Horror', 'Supernatural', 'Mystery'}",2006,7.88,Studio Deen
Hell Girl: Two Mirrors,"{'Horror', 'Supernatural', 'Mystery'}",2006,7.88,Studio Deen
JoJo's Bizarre Adventure (2012),"{'Adventure', 'Supernatural', 'Action'}",2012,7.88,David Production
Mobile Suit Gundam: The Witch from Mercury,"{'Sci-Fi', 'Action'}",2022,7.88,Sunrise
The Demon Girl Next Door 2,"{'Comedy', 'Fantasy'}",2022,7.88,J.C.Staff
Megalobox,"{'Sci-Fi', 'Sports'}",2018,7.88,TMS Entertainment
Dear Brother,"{'Girls LoveGirls Love', 'Drama'}",1991,7.88,Tezuka Productions
The Story of Saiunkoku,"{'Romance', 'Fantasy', 'Adventure'}",2006,7.88,Madhouse
Space Dandy,"{'Comedy', 'Sci-Fi'}",2014,7.88,Bones
TONIKAWA: Over The Moon For You,"{'Romance', 'Comedy'}",2020,7.87,Seven Arcs
The World God Only Knows II,"{'Romance', 'Comedy', 'Supernatural'}",2011,7.87,Manglobe
Mashle: Magic and Muscles - The Divine Visionary Candidate Exam Arc,"{'Comedy', 'Fantasy', 'Action'}",2024,7.87,A-1 Pictures
Paradise Kiss,"{'Romance', 'Drama'}",2005,7.86,Madhouse
Classroom of the Elite,"{'Drama', 'Suspense'}",2017,7.86,Lerche
Soaring Sky! Pretty Cure,"{'Fantasy', 'Action'}",2023,7.86,Toei Animation
Hozuki's Coolheadedness 2: Part 2,"{'Comedy', 'Fantasy'}",2018,7.86,Studio Deen
InuYasha,"{'Romance', 'Fantasy', 'Adventure', 'Action'}",2000,7.86,Sunrise
Beelzebub,"{'Comedy', 'Supernatural', 'Action'}",2011,7.85,Pierrot Plus
Carole & Tuesday,"{'Drama', 'Sci-Fi'}",2019,7.85,Bones
Tiger & Bunny,"{'Mystery', 'Comedy', 'Sci-Fi', 'Action'}",2011,7.85,Sunrise
Soul Eater,"{'Comedy', 'Fantasy', 'Action'}",2008,7.84,Bones
Trigun Stampede,"{'Sci-Fi', 'Adventure', 'Action'}",2023,7.84,Orange
Dark Gathering,"{'Horror', 'Supernatural'}",2023,7.84,OLM
Doraemon,"{'Sci-Fi', 'Comedy', 'Fantasy', 'Adventure'}",1979,7.84,Shin-Ei Animation
Galaxy Express 999,"{'Drama', 'Sci-Fi', 'Adventure'}",1978,7.84,Toei Animation
Magi: Adventure of Sinbad,"{'Fantasy', 'Adventure', 'Action'}",2016,7.84,Lay-duce
Outlaw Star,"{'Comedy', 'Sci-Fi', 'Adventure', 'Action'}",1998,7.84,Sunrise
Michiko & Hatchin,"{'Adventure', 'Action'}",2008,7.83,Manglobe
The Melancholy of Haruhi Suzumiya,"{'Mystery', 'Comedy', 'Sci-Fi', 'Award Winning'}",2006,7.83,Kyoto Animation
The Eccentric Family,"{'Comedy', 'Fantasy', 'Drama', 'Award Winning'}",2013,7.83,P.A. Works
Zom 100: Bucket List of the Dead,"{'Comedy', 'Horror', 'Supernatural', 'Action', 'Suspense'}",2023,7.83,BUG FILMS
91 Days,"{'Drama', 'Suspense', 'Action'}",2016,7.83,Shuka
Baby and Me,"{'Comedy', 'Drama'}",1996,7.83,Pierrot
Gungrave,"{'Drama', 'Sci-Fi', 'Action'}",2003,7.83,Madhouse
ID: INVADED,"{'Sci-Fi', 'Suspense', 'Mystery'}",2020,7.83,NAZ
Emma: A Victorian Romance Season Two,"{'Romance', 'Drama'}",2007,7.82,Ajia-do
Monthly Girls' Nozaki-kun,"{'Romance', 'Comedy'}",2014,7.82,Doga Kobo
Haré+Guu,"{'Slice of Life', 'Comedy'}",2001,7.82,Shin-Ei Animation
Magical Circle,"{'Comedy', 'Fantasy', 'Adventure'}",2017,7.82,Production I.G
Welcome to Demon School! Iruma-kun Season 3,"{'Comedy', 'Fantasy'}",2022,7.82,Bandai Namco Pictures
Somali and the Forest Spirit,"{'Drama', 'Fantasy', 'Adventure'}",2020,7.82,"Satelight, HORNETS"
Dusk Maiden of Amnesia,"{'Romance', 'Horror', 'Supernatural', 'Mystery'}",2012,7.82,SILVER LINK.
YuruYuri: Happy Go Lily ♪♪,"{'Girls LoveGirls Love', 'Comedy'}",2012,7.82,Doga Kobo
∀ Gundam,"{'Drama', 'Action', 'Romance', 'Sci-Fi', 'Adventure', 'Award Winning'}",1999,7.81,Sunrise
Bungo Stray Dogs,"{'Mystery', 'Supernatural', 'Action'}",2016,7.81,Bones
Fire Force Season 2,"{'Fantasy', 'Sci-Fi', 'Action'}",2020,7.81,David Production
"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You","{'Romance', 'Comedy'}",2023,7.81,Bibury Animation Studios
Little Witch Academia,"{'Comedy', 'Fantasy', 'Adventure'}",2017,7.81,Trigger
Banner of the Stars II,"{'Romance', 'Sci-Fi', 'Action'}",2001,7.81,Sunrise
